sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;9:26:17 - 9:26:57 (92);40;9;9:26:17 - 9:27:1 (110);44;9;9:26:27 - 9:28:49 (105);142;0;9:26:27 - 9:28:58 (109);151;0;9:26:27 - 9:29:0 (111);153;0;9:26:33 - 9:29:28 (87);175;0;9:26:38 - 9:29:51 (103);193;1;9:26:39 - 9:29:49 (96);190;1;9:26:39 - 9:29:54 (84);195;0;9:26:39 - 9:29:56 (90);197;0;9:26:53 - 9:30:21 (115);208;1;9:26:53 - 9:30:22 (102);209;0;9:26:53 - 9:30:21 (98);208;1;9:26:53 - 9:30:24 (95);211;1;9:26:53 - 9:30:22 (26);209;1;9:26:53 - 9:30:26 (122);213;1;
errosion;9:27:6 - 9:27:8 (128);2;;9:27:10 - 9:27:11 (118);1;;9:28:49 - 9:28:51 (128);2;;9:28:58 - 9:28:59 (112);1;;9:29:0 - 9:29:2 (94);2;;9:29:28 - 9:29:30 (128);2;;9:29:52 - 9:29:53 (105);1;;9:29:50 - 9:29:51 (109);1;;9:29:54 - 9:29:56 (103);2;;9:29:56 - 9:29:58 (36);2;;9:30:22 - 9:30:23 (90);1;;9:30:22 - 9:30:23 (98);1;;9:30:22 - 9:30:22 (115);0;;9:30:25 - 9:30:25 (26);0;;9:30:23 - 9:30:24 (105);1;;9:30:27 - 9:30:27 (26);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:25:2 - 21:26:56;114;4;21:25:2 - 21:26:47;105;13;21:25:2 - 21:26:48;106;12;21:25:2 - 21:26:48;106;12;21:25:2 - 21:26:55;113;5;21:25:2 - 21:26:53;111;7;21:25:2 - 21:26:41;99;19;21:25:2 - 21:26:53;111;8;21:25:2 - 21:26:48;106;13;21:25:2 - 21:26:46;104;16;21:25:2 - 21:26:55;113;9;21:25:2 - 21:26:44;102;21;21:25:2 - 21:26:50;108;16;21:25:2 - 21:26:53;111;13;21:25:2 - 21:26:53;111;13;21:25:2 - 21:26:53;111;13;
grayscaling;9:27:0 - 9:31:44 (85);284;1;9:27:0 - 9:31:45 (123);285;1;9:27:0 - 9:31:46 (104);286;1;9:27:0 - 9:31:44 (100);284;1;9:27:0 - 9:31:42 (92);282;1;9:27:0 - 9:31:44 (127);284;0;9:27:0 - 9:31:45 (31);285;2;9:27:1 - 9:31:44 (110);283;1;9:27:1 - 9:31:45 (126);284;1;9:27:2 - 9:31:46 (91);284;1;9:27:4 - 9:31:46 (106);282;2;9:27:5 - 9:31:47 (114);282;1;9:27:6 - 9:31:47 (107);281;2;9:27:6 - 9:31:46 (86);280;4;9:27:6 - 9:31:47 (117);281;2;9:27:6 - 9:31:47 (120);281;2;
errosion;9:31:45 - 9:31:45 (105);0;;9:31:46 - 9:31:46 (123);0;;9:31:47 - 9:31:47 (127);0;;9:31:45 - 9:31:46 (110);1;;9:31:43 - 9:31:44 (90);1;;9:31:44 - 9:31:45 (92);1;;9:31:47 - 9:31:47 (100);0;;9:31:45 - 9:31:46 (87);1;;9:31:46 - 9:31:47 (31);1;;9:31:47 - 9:31:48 (122);1;;9:31:48 - 9:31:49 (107);1;;9:31:48 - 9:31:48 (110);0;;9:31:49 - 9:31:49 (106);0;;9:31:50 - 9:31:50 (90);0;;9:31:49 - 9:31:49 (31);0;;9:31:49 - 9:31:50 (107);1;;


